scenario,approach,algorithm,feature,source_table,importance
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.lat80,amf-performance.csv,-0.005743104098861096
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.lat95,amf-performance.csv,-0.006137257245065797
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.lat75,amf-performance.csv,-0.006215214481638043
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.ram_limit,amf-performance.csv,-0.009272092685380784
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.lat90,amf-performance.csv,-0.01329001096262843
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.lat50,amf-performance.csv,-0.019027820775373527
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/python-web-server-performance.csv.ram_limit,python-web-server-performance.csv,-0.01927495391196672
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.time,amf-performance.csv,-0.019452644602862536
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.dt,amf-performance.csv,-0.037988237268493916
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.dt.dayofweek,amf-performance.csv.dt,-0.04546743670732241
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.ram_usage,rabbitmq-performance.csv,203.45428062742644
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.cpu_usage,rabbitmq-performance.csv,27.40792944946225
scenarioN_target_n,AutoFeatPlus,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.ram_limit,rabbitmq-performance.csv,14.364295998805725
